63,,3112,"16IR-V-ISO1,00 AM7C",1,1,1,-,Threading Insert,,,Actived,1
64,,3117,"16IR-V-ISO1,50 AM15C",1,1,1,-,Thread indexable insert,,,Actived,1
65,,3128,"16IR-V-ISO2,00 AL100",1,1,1,-,Threading Insert,,,Actived,1
66,,3133,"16IR-V-ISO3,00 AL100",1,1,1,-,Threading Insert,,,Actived,1
67,,3138,16IR-V-PG16 AL100,1,1,1,-,16IR-V-PG16 AL100 Threading Insert,,,Actived,1
68,,3143,"16IR-V-TR103/2,0 AL1",1,1,1,-,"16IR-V-TR103/2,0 AL100 Threading Insert",,,Actived,1
69,,3158,16VER-T-G55 AL100,1,1,1,-,Thread indexable insert,,,Actived,1
70,,3194,17AB1256 IND. 00,1,1,1,-,PREISGRUPPE 12,,,Actived,1
71,,3497,20310L,1,1,1,-,Grooving Support Blades,,,Actived,1
72,,3502,20310R,1,1,1,-,Grooving Support Blades,,,Actived,1
73,,3518,203S-75100R KONTRA,1,1,1,-,Support blade,,,Actived,1
74,,3528,204-6075L,1,1,1,-,Grooving Support Blades,,,Actived,1
75,,3548,20511L,1,1,1,-,Grooving Support Blades,,,Actived,1
76,,3559,20515R,1,1,1,-,Support,,,Actived,1
77,,3543,205-75100L,1,1,1,-,Support blade,,,Actived,1
78,,3595,206-75100L,1,1,1,-,Grooving Support Blades,,,Actived,1
79,,3646,20768-1,1,1,1,-,47AB2730 Index 00 AK20,,,Actived,1
80,,3651,20768-2,1,1,1,-,40AB2862 Index 00 AM5240,,,Actived,1
81,,3656,20768-3,1,1,1,-,40AB2905 Index 01 AM5240,,,Actived,1
82,,3661,20768-4,1,1,1,-,40AB2905 Index 01 AM5140+,,,Actived,1
83,,3666,20768-5,1,1,1,-,TNMU 3135FR AM5220 Typ2 46AB3815 Index 00 AM5220,,,Actived,1
84,,3682,20774-1,1,1,1,-,TNGN 110304-E040 ASD2,,,Actived,1
85,,3697,20791-1,1,1,1,-,SVPCL 1616X11-A-IK-S2G,,,Actived,1
86,,3718,20800-1,1,1,1,-,Collet 4 mm,,,Actived,1
87,,3779,21201 AK10,1,1,1,-,Grooving Inserts,,,Actived,1
88,,3790,21201 AM350,1,1,1,-,Grooving indexable insert,,,Actived,1
89,,3795,21201-12 AM35C,1,1,1,-,Grooving Inserts,,,Actived,1
90,,3800,21201-12 AM5035,1,1,1,-,Grooving indexable insert,,,Actived,1
91,,3805,21201-ALU AK10,1,1,1,-,Grooving Inserts,,,Actived,1
92,,3810,21202-12 CERMET,1,1,1,-,Grooving Inserts,,,Actived,1
93,,3815,21202-AM AM27C,1,1,1,-,Grooving Inserts,,,Actived,1
94,,3820,21202-AM AM350,1,1,1,-,Grooving Inserts,,,Actived,1
95,,3831,21210VK AM5035,1,1,1,-,Grooving indexable insert,,,Actived,1
96,,3836,2160 PLUS,1,1,1,-,STOREMANAGER PRO 2160 PLUS Expansion module,,,Actived,1
97,,4113,22IR-T-N60 AL100,1,1,1,-,Thread indexable insert,,,Actived,1
98,,5185,30.06.16.2,1,1,1,-,BBT30xER25x70-AD,,,Actived,1
99,,5196,30.06.20.66,1,1,1,-,BBT30x20x60,,,Actived,1
100,,5201,30.06.22.9,1,1,1,-,BBT30x22x40-AD+C,,,Actived,1
101,,5237,31602 AM35C,1,1,1,-,Grooving Inserts,,,Actived,1
102,,5242,31602 AM5035,1,1,1,-,Grooving indexable insert,,,Actived,1
103,,5247,31602 AR27C,1,1,1,-,Grooving indexable insert,,,Actived,1
104,,5252,31602-12 AM27C,1,1,1,-,Grooving Inserts,,,Actived,1
105,,5257,31602-12 AM35C,1,1,1,-,Grooving Inserts,,,Actived,1
106,,5262,31602-12 AM5035,1,1,1,-,Grooving indexable insert,,,Actived,1
107,,5273,31602-ALU AK10,1,1,1,-,Grooving indexable insert,,,Actived,1
108,,5278,31602-AM AM27C,1,1,1,-,Grooving indexable insert,,,Actived,1
109,,5283,31602-AM AM350,1,1,1,-,Grooving Insert,,,Actived,1
110,,5288,31604 AM5035,1,1,1,-,Grooving indexable insert,,,Actived,1
111,,5293,32002 AM35C,1,1,1,-,Grooving Inserts,,,Actived,1
112,,5298,32002 AM5035,1,1,1,-,Grooving indexable insert,,,Actived,1
113,,5303,32002 AR27C,1,1,1,-,Grooving indexable insert,,,Actived,1
114,,5314,32002-12 AM5035,1,1,1,-,Grooving Inserts,,,Actived,1
115,,5319,32002-12 CERMET,1,1,1,-,Grooving Inserts,,,Actived,1
116,,5324,32002-ALU AK10,1,1,1,-,Grooving Inserts,,,Actived,1
117,,5329,32002-AM AM27C,1,1,1,-,Grooving Inserts,,,Actived,1
118,,5334,32002-AM AM350,1,1,1,-,Grooving indexable insert Tarifno.82090020,,,Actived,1
119,,5339,32004 AM35C,1,1,1,-,Grooving Inserts,,,Actived,1
120,,5350,32015VK AM5035,1,1,1,-,Grooving Inserts,,,Actived,1
121,,5355,32AB1072 IND.00,1,1,1,-,PREISGRUPPE 32,,,Actived,1
122,,5391,37AB1073 IND.01,1,1,1,-,PREISGRUPPE 34,,,Actived,1
123,,5396,3ER 1.0ISO VTX,1,1,1,-,insert,,,Actived,1
124,,5401,3ER 1.5ISO VTX,1,1,1,-,insert,,,Actived,1
125,,5406,3ER 18UN VTX,1,1,1,-,insert,,,Actived,1
126,,5411,3IR1.0ISO VTX,1,1,1,-,Goods Code : VAR-0579,,,Actived,1
127,,5457,40AB1275 IND. 00 AP5,1,1,1,-,40AB1275 IND. 00 AP5230 Special Grooving indexable,,,Actived,1
128,,5750,42202-12 AM5035,1,1,1,-,Grooving Inserts,,,Actived,1
129,,5755,42220V AK10,1,1,1,-,Grooving Inserts,,,Actived,1
130,,5760,42220V AM35C,1,1,1,-,Grooving Inserts,,,Actived,1
131,,5765,42220VK AM35C,1,1,1,-,Grooving indexable insert Tarifno.82090020,,,Actived,1
132,,5770,42220VK AM5035,1,1,1,-,Grooving Inserts,,,Actived,1
133,,5781,42220VK AT10,1,1,1,-,Grooving Inserts,,,Actived,1
134,,6037,42762-1,1,1,1,-,SP0800-0240 VHM/TIALN,,,Actived,1
135,,6468,453200 85X150,1,1,1,-,"PROTRACTOR,WITH CLOSED ANGLE SCALE",,,Actived,1
136,,6473,45FS-440V-020 C12,1,1,1,-,Camfering cutter 45 Tarifno.82077037,,,Actived,1
137,,6571,47AB1192 IND.01 AP40,1,1,1,-,PREISGRUPPE 15,,,Actived,1
138,,6576,47AB1192 IND.01 AP52,1,1,1,-,47AB1192 Ind.01 AP5220 Special Profil-Cut insert,,,Actived,1
139,,6581,47AB1193 IND.01 AP25,1,1,1,-,47AB1193 Ind.01 AP2550 Special Profil-Cut insert,,,Actived,1
140,,6586,47AB1193 IND.01 AP40,1,1,1,-,PREISGRUPPE 15,,,Actived,1
141,,6602,49AB0660 IND.AP5020,1,1,1,-,PREISGRUPPE 44,,,Actived,1
142,,6607,49AB1480 IND.00 AP,1,1,1,-,49AB1480 Ind.00 AP5240  special AMS-insert,,,Actived,1
143,,6612,49AB3710 INDEX00/TIN,1,1,1,-,Micro tool,,,Actived,1
144,,6920,513-515T DIAL TEST,1,1,1,-,513-515T DIAL TEST INDICATOR,,,Actived,1
145,,6930,52502 AR17C,1,1,1,-,Grooving indexable insert,,,Actived,1
146,,6935,52502 AR27C,1,1,1,-,Grooving Inserts,,,Actived,1
147,,6940,52502-ALU AT10,1,1,1,-,Grooving indexable insert Tarifno.82090020,,,Actived,1
148,,6951,52504 AM5035,1,1,1,-,52504 AM5035 Grooving insert,,,Actived,1
149,,6956,52504-AM AM27C,1,1,1,-,Grooving indexable Tarifno.82090020,,,Actived,1
150,,6961,52504-AM AM350,1,1,1,-,Grooving indexable insert Tarifno.82090020,,,Actived,1
151,,6966,52525VK AM35C,1,1,1,-,Grooving Inserts,,,Actived,1
152,,7151,"5LIR-V-ISO1,00",1,1,1,-,"5LIR-V-ISO1,00 AL100   Threading Insert",,,Actived,1
153,,7156,60PS.32R.E12,1,1,1,-,End milling cutter Tarifno.82077037,,,Actived,1
154,,7233,63002-12 AM35C,1,1,1,-,Grooving indexable insert Tarifno.82090020,,,Actived,1
155,,7238,63002-ALU AM35C,1,1,1,-,Grooving indexable insert Tarifno.82090020,,,Actived,1
156,,7243,63004 AM35C,1,1,1,-,Grooving indexable insert Tarifno.82090020,,,Actived,1
157,,7248,63008-AM AM27C,1,1,1,-,Grooving indexable insert Tarifno.82090020,,,Actived,1
158,,7253,63008-AM AM350,1,1,1,-,Grooving indexable insert Tarifno.82090020,,,Actived,1
159,,8947,6IR-T-A60 AM15C,1,1,1,-,Threading Insert,,,Actived,1
160,,8952,7031B MAGNETIC STAND,1,1,1,-,,,,Actived,1
161,,9096,71212-3L,1,1,1,-,Grooving Holders,,,Actived,1
162,,9101,71212-3R,1,1,1,-,Grooving Holders,,,Actived,1
163,,9106,71216-2-1520R,1,1,1,-,Grooving Holders,,,Actived,1
164,,9183,72020-2-2025L,1,1,1,-,Grooving Holders,,,Actived,1
165,,9188,72020-2-2025R KONTRA,1,1,1,-,Monobloc holder,,,Actived,1
166,,9193,72020-3-1520L,1,1,1,-,Grooving Holders,,,Actived,1
167,,9198,72020-3-1520R,1,1,1,-,Grooving Holders,,,Actived,1
168,,9203,72020-3-2025L,1,1,1,-,Grooving Holders,,,Actived,1
169,,9214,72020-3-2025L KONTRA,1,1,1,-,Grooving Holders,,,Actived,1
170,,9219,72020L,1,1,1,-,Toolholder external Tarifno.82078019,,,Actived,1
171,,9224,72020R,1,1,1,-,Grooving Holders,,,Actived,1
172,,9229,72025L,1,1,1,-,Grooving Holders,,,Actived,1
173,,9250,72525L,1,1,1,-,Toolholder external Tarifno.82078019,,,Actived,1
174,,9255,72525R,1,1,1,-,72525R Support,,,Actived,1
175,,9260,72525R-M,1,1,1,-,Grooving Holders,,,Actived,1
176,,9265,72ES.025R.P10,1,1,1,-,End milling cutter Tarifno.82077031,,,Actived,1
177,,9270,72ESL.025R.P10,1,1,1,-,Milling Cutters&Indexable Drills,,,Actived,1
178,,9275,73225L,1,1,1,-,Toolholder external Tarifno.82078019,,,Actived,1
179,,9306,753021-01,1,1,1,-,BT 30 - 6 - 80,,,Actived,1
180,,9311,753021-02,1,1,1,-,BT 30 - 8 - 80,,,Actived,1
181,,9316,753021-03,1,1,1,-,BT 30 - 10 - 80,,,Actived,1
182,,9321,753021-06,1,1,1,-,BT 30 - 16 - 80,,,Actived,1
183,,9332,753021-14,1,1,1,-,BT 30 - 4 - 80,,,Actived,1
184,,11933,90EA.04/SC-45X16,1,1,1,-,SPECIAL CUTTER,,,Actived,1
185,,11944,90EA.040/SC-45X16,1,1,1,-,Special shell type milling cutter,,,Actived,1
